Position	Strand	Depth	Trans_Depth
50	FR	18.23	-1.26078666865498
50	RF	59.53	1.77473588255175
150	FR	33.98	-1.53122337453303
150	RF	294.49	2.46907055203125
250	FR	26.61	-1.42504487455139
250	RF	958.83	2.98174161383745
350	FR	17.99	-1.25503116334555
350	RF	974.61	2.98883086315295
450	FR	32.19	-1.50772097668561
450	RF	1637.96	3.21430329181305
550	FR	73.35	-1.8654001181793
550	RF	3283.45	3.51633040728741
650	FR	82.54	-1.9166644645414
650	RF	3430.5	3.53535742366243
750	FR	158.3	-2.19948091486236
750	RF	3816.86	3.58170623059554
850	FR	232.72	-2.366833708239
850	RF	3856.38	3.58617982185214
950	FR	242.57	-2.38483708820368
950	RF	3860.54	3.58664805664522
1050	FR	209.69	-2.3215777196958
1050	RF	3820.23	3.58208951074518
1150	FR	104.15	-2.01765927428376
1150	RF	3331.47	3.52263590678527
1250	FR	57.24	-1.75769962508774
1250	RF	3732.18	3.57196258124852
1350	FR	141.18	-2.14977317755966
1350	RF	5850.49	3.76719224136155
1450	FR	140.01	-2.14615905560482
1450	RF	5713.95	3.75693643576337
1550	FR	136.9	-2.13640344813399
1550	RF	5300.67	3.7243307675088
1650	FR	196.59	-2.2935614226758
1650	RF	3876.66	3.58845771315607
1750	FR	222.88	-2.34807109907989
1750	RF	3993.85	3.60139174971956
1850	FR	213.51	-2.32941822054659
1850	RF	4479.41	3.65122081519941
1950	FR	212.69	-2.32774707125246
1950	RF	4556.45	3.65862660892462
2050	FR	182.38	-2.26097721137248
2050	RF	7275.09	3.86183837033995
2150	FR	203.42	-2.30839364997626
2150	RF	13536.73	4.13151376667775
2250	FR	189.6	-2.27783833300205
2250	RF	15254.14	4.18338772795465
2350	FR	311.47	-2.49341622286713
2350	RF	14520.59	4.16198426295764
2450	FR	500.43	-2.69934333708037
2450	RF	14553.96	4.16298117697521
2550	FR	457.04	-2.65995421105249
2550	RF	14603.85	4.16446736354728
2650	FR	312.82	-2.4952945116895
2650	RF	13219.73	4.121222585202
2750	FR	176.32	-2.24630157717169
2750	RF	7369.11	3.86741503936123
2850	FR	167.9	-2.22505069613805
2850	RF	3753.01	3.5743797216044
2950	FR	165.03	-2.21756289966943
2950	RF	1913.89	3.28191697327059
3050	FR	164.11	-2.21513504548026
3050	RF	1760.7	3.24568536423324
3150	FR	161.99	-2.20948820541383
3150	RF	1815.9	3.25909192863221
3250	FR	161.34	-2.20774205260695
3250	RF	1566.58	3.19495257775039
3350	FR	236.29	-2.37344534229798
3350	RF	1858.63	3.26919294278345
3450	FR	239.49	-2.37928738399071
3450	RF	1945.18	3.28895979557931
3550	FR	195.25	-2.29059104254934
3550	RF	1927.87	3.2850777452379
3650	FR	198	-2.29666519026153
3650	RF	2003.97	3.30189121573214
3750	FR	225.46	-2.35306950266545
3750	RF	2859.51	3.45629161965773
3850	FR	226.71	-2.35547067693744
3850	RF	4922.38	3.69217513751243
3950	FR	215.38	-2.33320537262534
3950	RF	5279.7	3.72260924600993
4050	FR	197.06	-2.29459847845371
