Position	Strand	Depth	Trans_Depth
50	FR	72.92	-1.86284665998294
50	RF	882.68	2.94580328633806
150	FR	111.12	-2.04579223272956
150	RF	1064.1	3.0269824431916
250	FR	179	-2.25285303097989
250	RF	1092.9	3.03858042596158
350	FR	172.59	-2.23701562874516
350	RF	894.72	2.95168714539355
450	FR	175.4	-2.24402958903002
450	RF	818.25	2.91288601398004
550	FR	125.37	-2.09819362586329
550	RF	806.81	2.90677127243352
650	FR	176.52	-2.24679391877515
650	RF	802.93	2.90467768483177
750	FR	209.04	-2.32022939671927
750	RF	795.84	2.90082576358984
850	FR	272.28	-2.43501574193256
850	RF	824.26	2.91606422474874
950	FR	267.79	-2.42779435525289
950	RF	739.6	2.86899690248713
1050	FR	262.78	-2.41959230829958
1050	RF	655.89	2.81683100949949
1150	FR	4088.57	-3.61157143766437
1150	RF	504.26	2.70265451948125
1250	FR	13518.8	-4.13093814304735
1250	RF	414.43	2.61745118583678
1350	FR	19458.88	-4.28911783984715
1350	RF	464.28	2.66677997576887
1450	FR	21529.76	-4.33303918861324
1450	RF	599.36	2.77768775569514
1550	FR	17929.99	-4.25358004734545
1550	RF	608.07	2.78395357740404
1650	FR	12913.7	-4.11105069303018
1650	RF	379.77	2.57952065458464
1750	FR	8280.18	-3.91803977786665
1750	RF	281.9	2.4500950758716
1850	FR	10599.48	-4.02528455972986
1850	RF	261.57	2.41758793238319
1950	FR	13337.77	-4.12508322405939
1950	RF	236.67	2.37414321078003
2050	FR	10838.32	-4.03496196935423
2050	RF	202	2.30535136944662
2150	FR	8788.81	-3.94393007582237
2150	RF	169.75	2.22980978295254
2250	FR	10703.54	-4.02952743639587
2250	RF	290.75	2.46351972340049
2350	FR	13961.24	-4.14492399287465
2350	RF	482.03	2.68307406817456
2450	FR	15446.51	-4.18883036991251
2450	RF	579.27	2.7628810372651
2550	FR	14673.48	-4.16653312444762
2550	RF	489.84	2.69005424642768
2650	FR	16860.78	-4.22687766173951
2650	RF	557.32	2.74610462843891
2750	FR	16054.14	-4.20558704591884
2750	RF	701.75	2.84618242130648
2850	FR	17900.28	-4.25285982436
2850	RF	797.28	2.90161086982698
2950	FR	14311.12	-4.15567362333251
2950	RF	838.81	2.92366359933137
3050	FR	11654.99	-4.0665119052314
3050	RF	1442.77	3.15919710330954
3150	FR	10194.08	-4.00834803747539
3150	RF	2229.12	3.34813344844212
3250	FR	7750.25	-3.88931571177977
3250	RF	2132.22	3.32883201267008
3350	FR	5155.55	-3.71227500312556
3350	RF	1895.39	3.27769858497494
3450	FR	4531.06	-3.65619981311637
3450	RF	2913.79	3.46445824848832
3550	FR	5944	-3.77407880075252
3550	RF	3489.33	3.5427420443698
3650	FR	6070.12	-3.78319727671326
3650	RF	3739.86	3.57285534488351
3750	FR	5365.66	-3.72962314973695
3750	RF	2702.86	3.43182355113635
3850	FR	5055.4	-3.70375552410506
3850	RF	226.55	2.3551640665152
3950	FR	2707.51	-3.4325700693368
3950	RF	53.71	1.7300551523755
4050	FR	1834.91	-3.26361476751894
4050	RF	46.85	1.6707095952238
4150	FR	1818.59	-3.25973479867431
4150	RF	53.62	1.72932680964686
4250	FR	1841.18	-3.26509624868076
4250	RF	56.12	1.74911766235632
4350	FR	1880.6	-3.27429643177251
4350	RF	55.7	1.74585519517373
4450	FR	1568	-3.19534605834842
4450	RF	39.72	1.59900923982334
4550	FR	1272.36	-3.10461000745487
4550	RF	40.98	1.61257195406518
4650	FR	1300.52	-3.1141170353653
4650	RF	41.21	1.61500261452459
4750	FR	1397.39	-3.14531763103199
4750	RF	47.25	1.67440181284528
4850	FR	1382.2	-3.14057088863295
4850	RF	37.36	1.57240686755806
4950	FR	1100.28	-3.04150321877721
4950	RF	33.96	1.53096768157191
5050	FR	1118.88	-3.04878351089616
5050	RF	31.02	1.49164179347759
5150	FR	1089.07	-3.037055794941
5150	RF	52.98	1.72411195396121
5250	FR	1255.72	-3.09889281136665
5250	RF	57.15	1.7570162347313
5350	FR	1209.67	-3.08266691021245
5350	RF	24.03	1.3807537708039
5450	FR	1081.4	-3.03398636523961
5450	RF	12.53	1.09795107099415
5550	FR	1008.63	-3.00373188137288
5550	RF	20.7	1.31597034545692
5650	FR	925.66	-2.96645149722328
5650	RF	29.35	1.46760810558363
5750	FR	911.43	-2.95972331941873
5750	RF	58.42	1.76656155263753
5850	FR	739.51	-2.86894405110567
5850	RF	59.57	1.77502760009884
5950	FR	693.73	-2.84119047574898
5950	RF	50.25	1.70113606609253
6050	FR	905.8	-2.95703231634694
6050	RF	60.87	1.78440330175301
6150	FR	956.44	-2.98065773078127
6150	RF	42.16	1.62490060220449
6250	FR	960.82	-2.98264203456891
6250	RF	24.05	1.38111508070985
6350	FR	914.08	-2.96098420671647
6350	RF	19.78	1.29622628726116
6450	FR	950	-2.97772360528885
6450	RF	12.61	1.10071508657308
6550	FR	1129.39	-3.05284393802805
6550	RF	13.32	1.12450422483428
6650	FR	1149.76	-3.06060719552456
6650	RF	32.37	1.51014269940257
6750	FR	1133.34	-3.0543602169885
6750	RF	42.99	1.63336744511701
6850	FR	913.51	-2.96071330584406
6850	RF	15.52	1.19089171692217
6950	FR	833.02	-2.92065542852007
6950	RF	13.2	1.12057393120585
7050	FR	1062.06	-3.02614905246376
7050	RF	32.51	1.51201696949613
7150	FR	1364.51	-3.13497672280467
7150	RF	59.27	1.77283492723902
7250	FR	1448.38	-3.1608825192176
7250	RF	295.45	2.47048399431569
7350	FR	1522.48	-3.18255159624962
7350	RF	538.49	2.73117764266623
7450	FR	1594.45	-3.20261090484924
7450	RF	503.76	2.70222368029401
7550	FR	1610.89	-3.20706588553154
7550	RF	378.9	2.57852460527499
7650	FR	2599.49	-3.41488815108171
7650	RF	275.18	2.43961686631756
7750	FR	24219.72	-4.38416911803256
7750	RF	600.26	2.77833940389548
7850	FR	31748.77	-4.50172690466547
7850	RF	897.8	2.95317960106563
7950	FR	31677.29	-4.50074802050621
7950	RF	619.5	2.79204131071208
8050	FR	25316.24	-4.40339920416879
8050	RF	535.77	2.72897839199108
8150	FR	20730.16	-4.3166026540885
8150	RF	579.52	2.76306842863396
8250	FR	19253.09	-4.28450044097462
8250	RF	475.76	2.67738792549122
8350	FR	11908.53	-4.07585815507724
8350	RF	285.59	2.45574299644849
8450	FR	4584.78	-3.66131850094861
8450	RF	194.07	2.28795840586015
8550	FR	4193.35	-3.62256111251685
8550	RF	155.31	2.19119941970152
8650	FR	3607.94	-3.5572593066178
8650	RF	134.47	2.12862540487595
8750	FR	1565.24	-3.1945809378469
8750	RF	103.87	2.01649013162083
8850	FR	194.56	-2.28905355759264
8850	RF	92.61	1.96665788420176
8950	FR	146.58	-2.16607471735708
8950	RF	75.99	1.88075644451021
9050	FR	116.12	-2.06490702715964
9050	RF	73.16	1.86427369680438
9150	FR	85.96	-1.93429640681941
9150	RF	113.05	2.05327056668138
9250	FR	88.86	-1.94870630890485
9250	RF	164.66	2.2165881110755
9350	FR	92.63	-1.96675166405138
9350	RF	159.44	2.20259728569243
9450	FR	99.01	-1.99567906051162
9450	RF	63.14	1.8003045775562
9550	FR	105.2	-2.02201573981772
9550	RF	109.31	2.0386598943025
9650	FR	128.3	-2.10822665637493
9650	RF	476.55	2.67810847388283
9750	FR	188.69	-2.27574888447919
9750	RF	576.24	2.76060340176863
9850	FR	252.05	-2.40148670177417
9850	RF	736.17	2.8669781153384
9950	FR	255.39	-2.40720388811203
9950	RF	758.85	2.88015593846425
10050	FR	200.55	-2.30222266631767
10050	RF	722.82	2.85903016072546
10150	FR	203.43	-2.30841499909667
10150	RF	536.35	2.72944828495843
10250	FR	209.09	-2.32033326261839
10250	RF	401.47	2.60365309800514
10350	FR	174.49	-2.24177054264612
10350	RF	314.61	2.497772522724
10450	FR	157.15	-2.1963143853536
10450	RF	223.7	2.34966598409663
10550	FR	155.95	-2.19298537909316
10550	RF	223.38	2.34904428660204
10650	FR	143.7	-2.15745676813423
10650	RF	208.36	2.31881434876066
10750	FR	192.21	-2.28377597871152
10750	RF	242.68	2.38503398627201
10850	FR	246.41	-2.39165832872247
10850	RF	245.72	2.39044050664753
10950	FR	243.92	-2.38724741135732
10950	RF	213.44	2.32927581223645
11050	FR	254.06	-2.4049362937527
11050	RF	153.43	2.18591028504071
11150	FR	201.55	-2.30438280248907
11150	RF	150.35	2.17710343243654
11250	FR	185.26	-2.26778165971536
11250	RF	239.34	2.37901528669348
11350	FR	157.38	-2.196949540974
11350	RF	238.17	2.37688705666405
11450	FR	183.5	-2.26363606858811
11450	RF	309.44	2.49057645240291
11550	FR	189.35	-2.27726530945684
11550	RF	360.08	2.55639899993042
11650	FR	197.01	-2.29448827100726
