Position	Strand	Depth	Trans_Depth
50	FR	6.14	-1
50	RF	2.6	1
150	FR	28.08	-1.44839710345777
150	RF	9.61	1
250	FR	37.11	-1.56949095434878
250	RF	24.05	1.38111508070985
350	FR	48.08	-1.68196445899468
350	RF	38.92	1.59017283159631
450	FR	43.09	-1.63437649408837
450	RF	31.63	1.50009919191572
550	FR	45.78	-1.66067578833852
550	RF	34.77	1.54120469068326
650	FR	60.93	-1.78483117812447
650	RF	33.18	1.52087638168834
750	FR	70.1	-1.84571801796666
750	RF	30.25	1.48072537898849
850	FR	94.07	-1.97345114402493
850	RF	23.47	1.37051308959859
950	FR	103.8	-2.01619735351244
950	RF	18.31	1.2626883443017
1050	FR	118.56	-2.07393819063525
1050	RF	25.04	1.39863432453839
1150	FR	108.15	-2.03402652377511
1150	RF	55.07	1.74091507648128
1250	FR	128.96	-2.11045502446102
1250	RF	67.26	1.82775686297862
1350	FR	124.79	-2.0961797847148
1350	RF	43.4	1.63748972951251
1450	FR	114.52	-2.05888133934956
1450	RF	29.74	1.47334096418594
1550	FR	103.35	-2.01431048096331
1550	RF	37.41	1.5729877081982
1650	FR	91.14	-1.95970902424643
1650	RF	63.17	1.80051087689437
1750	FR	93.8	-1.97220283837906
1750	RF	96.04	1.98245215138499
1850	FR	89.34	-1.95104594813582
1850	RF	95.08	1.97808917305614
1950	FR	82.59	-1.91692746611299
1950	RF	54	1.73239375982297
2050	FR	83.04	-1.91928734050438
2050	RF	31.31	1.49568306761692
2150	FR	62.7	-1.79726754083072
2150	RF	18.24	1.2610248339924
2250	FR	69.22	-1.84023159495811
2250	RF	19.54	1.29092455938275
2350	FR	99.43	-1.99751743941472
2350	RF	16.86	1.22685757028872
2450	FR	117.97	-2.07177157941676
2450	RF	27.15	1.43376983392487
2550	FR	123.07	-2.09015220059739
2550	RF	23.69	1.37456506072277
2650	FR	92.18	-1.9646367037885
2650	RF	11.86	1.07408468902824
2750	FR	96.5	-1.98452731334379
2750	RF	31.38	1.49665293925092
2850	FR	96.46	-1.98434725758586
2850	RF	42.89	1.63235604623907
2950	FR	111.46	-2.04711903872018
2950	RF	50.17	1.70044410102775
3050	FR	123.2	-2.09061070782841
3050	RF	60.74	1.78347478758225
3150	FR	106.35	-2.02673749423875
3150	RF	62.79	1.79789048305835
3250	FR	112.72	-2.0520009801013
3250	RF	50.88	1.70654710264036
3350	FR	116.05	-2.06464514479194
3350	RF	43.3	1.63648789635337
3450	FR	107.9	-2.03302144468291
3450	RF	41.69	1.6200318951263
3550	FR	84.49	-1.92680531011161
3550	RF	57.9	1.76267856372744
3650	FR	81.79	-1.91270020819086
3650	RF	71.28	1.85296769102882
3750	FR	110.1	-2.04178731897175
3750	RF	94.31	1.97455774485358
3850	FR	105.04	-2.02135471308142
3850	RF	101.48	2.00638045854969
3950	FR	93.34	-1.97006779654914
3950	RF	105.7	2.02407498730743
4050	FR	44.45	-1.64787176530623
4050	RF	108.71	2.03626949574282
4150	FR	62.47	-1.79567150594602
4150	RF	114	2.05690485133647
4250	FR	94.07	-1.97345114402493
4250	RF	115.21	2.06149017662482
4350	FR	86.23	-1.93565838610063
4350	RF	103.45	2.01473049500175
4450	FR	64.36	-1.80861603542699
4450	RF	64.73	1.81110560701793
4550	FR	50.89	-1.70663245087329
4550	RF	77.98	1.89198323085197
4650	FR	47.32	-1.67504473595589
4650	RF	90.57	1.95698436774276
4750	FR	31.65	-1.50037371435337
4750	RF	61.09	1.78597012513201
4850	FR	31.31	-1.49568306761692
4850	RF	37.34	1.57217431361306
4950	FR	35.14	-1.54580175715928
4950	RF	48.35	1.68439647841902
5050	FR	39.73	-1.59911856505536
5050	RF	55.32	1.74288217143727
5150	FR	45.32	-1.65628990119136
5150	RF	62.94	1.7989267385772
5250	FR	41.99	-1.62314587463794
5250	RF	67.67	1.83039617648347
5350	FR	29.72	-1.47304880508854
5350	RF	79.58	1.90080393481037
5450	FR	30.75	-1.48784512011144
5450	RF	77.3	1.88817949391832
5550	FR	30.04	-1.47769992833213
5550	RF	74.65	1.87302981206104
5650	FR	28.42	-1.45362407359145
5650	RF	67.2	1.82736927305382
5750	FR	25.6	-1.40823996531185
5750	RF	52.99	1.72419391951433
5850	FR	17.6	-1.24551266781415
5850	RF	69.66	1.84298347012222
5950	FR	17.29	-1.23779499327392
5950	RF	79.37	1.89965638030564
6050	FR	16.22	-1.21005084987514
6050	RF	44.77	1.65098709438345
6150	FR	5.81	-1
6150	RF	58.96	1.77055747485099
6250	FR	4.99	-1
6250	RF	72.4	1.85973856619715
6350	FR	12.13	-1.08386080086657
6350	RF	55.22	1.74209640230324
6450	FR	20.27	-1.30685374869301
6450	RF	41.7	1.62013605497376
6550	FR	22.55	-1.35314654621398
6550	RF	39.86	1.60053729436447
6650	FR	28.86	-1.46029632675748
6650	RF	38.49	1.58534791109459
6750	FR	35.58	-1.55120594374791
6750	RF	36.7	1.56466606425209
6850	FR	42.96	-1.6330642726915
6850	RF	42.92	1.63265971329391
6950	FR	38.04	-1.58024050826538
6950	RF	31.63	1.50009919191572
7050	FR	36.34	-1.56038492297202
7050	RF	22.66	1.35525990552738
7150	FR	25.25	-1.40226138245468
7150	RF	26.1	1.41664050733828
7250	FR	20.22	-1.30578115125498
7250	RF	58.7	1.76863810124761
7350	FR	7.28	-1
7350	RF	141.25	2.14998845649148
7450	FR	4.07	-1
